name,years_of_operation,what_they_did,how_much_they_raised,why_they_failed,takeaway
Aira Health,2015-2019,Personalized asthma/allergy app,$12M,Small user base and cash shortage,Niche apps need big audiences
Amino,2013-2021,Doctor search and cost estimation,$45M,Lost to Zocdoc/GoodRx and slow adoption,Narrow focus beats broad
Arivale,2015-2019,Personalized health coaching,$50M,High costs and low demand,Premium needs mass market
Augmedix,2012-2024,Remote medical scribes,$150M,Lost to software rivals and acquired,Flexibility beats rigidity
Avizia,2014-2018,Telemedicine for hospitals,$32M,Outpaced by bigger rivals and acquired,Niche needs a moat
Babylon Health,2013-2023,AI-powered telemedicine,$635M,Overexpansion and losses,Quality must match scale
Basis,2014-2016,Health smartwatch,$30M,Overheating and competition,Reliability is make-or-break
Better,2016-2023,Mental health for employees,$4.5M,Crowded market and no differentiation,Unique value is critical
BetterHelp,2013-2017,Online therapy (early),$31M,Trust issues and competition,Trust comes first
BioBeats,2014-2020,Stress monitoring wearable,$7M,Lost to bigger players and acquired,Standout use case needed
Call9,2015-2019,Telemedicine for nursing homes,$34M,Slow growth and high costs,Execution must scale
Cardiogram,2016-2021,Heart rate analysis app,$2M,Monetization and differentiation woes,Validation is key
CareSync,2011-2018,Care coordination platform,$48M,No payer contracts and revenue,Need payer buy-in
CareZone,2013-2020,Medication management app,$161M,Lost to free tools and sold,Defensible revenue matters
Clarityn,2016-2020,AI eye diagnostics,$20M,Lost to IDx and regulatory delays,Regulatory wins are key
Clinkle,2011-2016,Mobile wallet (health-adjacent),$30M,Leadership and no product,Execution over promises
Cue Health,2014-2024,At-home diagnostics,$404M,Post-COVID crash and costs,Plan for cycles
Dopamine Labs,2015-2019,Behavioral tech for apps,$2.5M,Lost focus and faded,Focus wins in health
Doxy.me,2013-2018,Free telemedicine (early),$5M,Free model unsustainable,Monetization is key
Driver,2018-2018,Cancer trial matching,$lowM,Bad pricing and funding,Validate willingness to pay
Dthera Sciences,2016-2020,Alzheimer’s therapeutic,$3M,Small market and funding,Niche needs deep pockets
Eargo,2010-2023,Hearing aids,$316M,Fraud allegations and competition,Trust is king
FitStar,2013-2015,Fitness app,$5M,Lost steam and acquired,Killer edge needed
Ginger,2011-2021,Mental health support,$220M,High costs and merged,Profitability matters
Goldfinch Bio,2016-2023,Precision kidney meds,$209M,Funding dried up and slow progress,Timing is critical
Healx,2014-2023,AI for rare diseases,$110M,Funding crunch and slow results,Deliver or downsize
Health IQ,2014-2023,Health-based insurance,$136M,Risk models and scrutiny,Math and compliance matter
HealthRiser,2015-2019,Posture wearable,$8M,Lost to Fitbit and costs,Mass appeal needed
HealthSpot,2012-2016,Telemedicine kiosks,$43M,Lost to software rivals,Flexibility beats rigidity
HealthTap+,2010-2017,Subscription telemedicine,$88M,Low retention and pivot,Sticky engagement needed
HealthifyMe,2011-2018,Fitness app (early),$125M,Slow retention and pivot,Evolve or lose
InTouch Health,2002-2020,Telemedicine robots,$78M,Scalability issues and sold,Plan for acquisition
iRhythm,2006-2015,Heart monitoring patch,$150M,Reimbursement woes early,Payer alignment is key
Jawbone,2006-2017,Fitness trackers,$930M,Competition and quality issues,Differentiate or die
Kaiku Health,2012-2020,Cancer symptom tracking,$6M,Slow adoption and acquired,Traction matters
Kyruus,2010-2015,Doctor matching (early),$153M,Lack of traction and pivot,Validate demand early
Lantern,2012-2018,Digital mental health,$21M,Slow adoption and misjudgment,Plan for long cycles
Lantern Pharma,2013-2018,AI drug repurposing,$26M,Slow results and pivot,Quick wins matter
Luminary Labs,2017-2021,AI skincare diagnostics,$12M,Crowded market and cash out,Validate niche early
Lumeon,2005-2023,Care orchestration,$92M,Slow sales and wind-down,Budget for long runways
MediChain,2017-2020,Blockchain medical records,$15M,Lost to Epic and crypto crash,Real-world buy-in needed
Medicasafe,2012-2018,Smart pill dispenser,$5M,High costs and low uptake,Simple beats complex
Mindstrong,2014-2023,Mental health via data,$160M,No actionable insights,Prove outcomes
Modern Health,2017-2023,Mental health for employees,$167M,Layoffs and valuation cuts,Growth must match fundamentals
Nurx,2014-2019,Telehealth birth control,$115M,Reg hurdles and competition,Scale and compliance
Olive,2012-2023,AI healthcare automation,$856M,Downturn and mismanagement,Adapt to shifts
Omada Health,2011-2016,Diabetes prevention (early),$550M,Slow payer adoption and pivot,Payers drive success
Outset Medical,2010-2015,Portable dialysis (early),$200M,Production snags and competition,Flawless execution needed
Pear Therapeutics,2013-2023,Digital therapeutics,$409M,Reimbursement woes,Therapeutics need economics
PillPack,2013-2018,Pre-sorted meds delivery,$118M,Profitability woes and sold,Scale or get gobbled
Proteus Digital Health,2004-2020,Ingestible sensors,$500M,Failed partnership and costs,Don’t bet on one partner
Quit Genius,2017-2023,Quit smoking app,$77M,Low retention and adoption,Stickiness beyond novelty
Scanadu,2012-2016,Home vitals device,$35M,Regulatory delays and competition,Speed to market matters
Sherpaa,2012-2019,Virtual primary care,$22M,Slow uptake and sold,Big clients fast
Sprig,2013-2017,Healthy meal delivery,$56M,High costs and competition,Need cost advantage
StethoCloud,2012-2015,Digital stethoscope,$1.5M,Distribution and funding,Mission needs business model
Theranos,2003-2018,Blood testing tech,$1.4B,Fraud and tech didn’t work,Transparency is key
Tinnitracks,2013-2020,Tinnitus treatment app,$6M,Limited proof and market,Evidence matters
uBiome,2012-2019,Microbiome testing,$105M,Fraudulent billing,Ethics are non-negotiable
Zeo,2008-2013,Sleep tracking headband,$30M,Competition and no viable model,Broad appeal needed
